id,name,status,latitude,longitude,dpcapacity
130,(ZPN-036) C. Niño Obrero /C José María Robles,IN_SERVICE,20.66731,-103.40953,19
131,(ZPN-037) Av. San Ignacio / Av. Guadalupe,IN_SERVICE,20.66677,-103.40335,15
132,(ZPN-038) C. Santa Rita / Av. Guadalupe,IN_SERVICE,20.66581,-103.40662,11
133,(ZPN-039) Av. Niño Obrero / C. Juan Diego,IN_SERVICE,20.66312806,-103.4079076,19
134,(ZPN-040) C. Santa María / C. Árbol,IN_SERVICE,20.66033761,-103.4037559,15
135,(ZPN-041) C. 12 de Diciembre / C. Juan Diego,IN_SERVICE,20.66463,-103.404,11
136,(ZPN-042) C. Tonatiuh / Av. Netzahualcóyotl,IN_SERVICE,20.65925105,-103.4065612,15
137,(ZPN-043) C. Ermita / C. Del Árbol,IN_SERVICE,20.65938,-103.40195,11
138,Ex-ZPN-044,NOT_IN_SERVICE,20.69705,-103.36322,0
139,(ZPN-045) Av. Tizoc / C. Iztaccíhuatl,IN_SERVICE,20.65701,-103.40464,15
140,(ZPN-046) Av. Cubilete / Av. López Mateos,IN_SERVICE,20.656866,-103.397725,19
141,(ZPN-047) Av. Tizoc / Av. López Mateos,IN_SERVICE,20.65381,-103.40134,15
142,(TLQ-001) BlvrdGarcía Barragán/C. Río Tajo,IN_SERVICE,20.64483,-103.31948,19
143,(TLQ-002) C. Juárez / Av. Niños Héroes,IN_SERVICE,20.6383352,-103.3163317,15
144,(TLQ-003) C. Contreras Medellín/Donato Guerra,IN_SERVICE,20.64193,-103.31366,15
145,(TLQ-004) C. Donato Guerra / C. Obregón,IN_SERVICE,20.64185,-103.3106,15
146,(TLQ-005) C. Zalatitán / C. Jalisco,IN_SERVICE,20.64188,-103.30651,15
147,Ex-TLQ-006,NOT_IN_SERVICE,20.641848,-103.3026,15
148,(TLQ-007) Blvrd.García Barragán/Donato Guerra,IN_SERVICE,20.64176,-103.31716,15
149,(TLQ-008) C. Juárez / C. Francisco de Miranda,IN_SERVICE,20.63841,-103.31334,15
150,(TLQ-009) C. Progreso / C. Juárez,IN_SERVICE,20.63816,-103.31148,15
151,(TLQ-010) C. Zaragoza / C. Emilio Carranza,IN_SERVICE,20.63834,-103.30952,15
152,(TLQ-011) C. Jalisco / C. Hidalgo,IN_SERVICE,20.63922,-103.30465,15
153,(TLQ-012) C. Paseo Don Bosco / C. Tonalá,IN_SERVICE,20.63613,-103.3019,15
154,(GDL-087) Av. Américas / Av. López Mateos,IN_SERVICE,20.69493,-103.37333,15
155,(GDL-088) Av.Plan de San Luis/C. Andrés Teran,IN_SERVICE,20.6972,-103.36773,15
156,(GDL-089) C. Juan Álvarez / C. Cruz Verde,IN_SERVICE,20.68456,-103.35699,11
157,(GDL-090) Calz. Federalismo / C. Durango,IN_SERVICE,20.69865,-103.35519,19
158,(GDL-091) C. Magisterio /Av. M. Ávila Camacho,IN_SERVICE,20.696097,-103.349382,15
159,(GDL-092) Calz Federalismo / Av Plan San Luis,IN_SERVICE,20.69610588,-103.3549492,15
160,(GDL-093) C. H Colegio Militar / Av. Américas,IN_SERVICE,20.69311,-103.37298,15
161,(GDL-094) C. Manuel Cambre / C. Andrés Teran,IN_SERVICE,20.69324,-103.36757,15
162,(GDL-095)  C. Mariano Bárcena / Maestros,IN_SERVICE,20.692725,-103.3516,19
163,(GDL-096) C. Jesús García / C. González Orte,IN_SERVICE,20.6891,-103.35071,19
164,(GDL-097) C. María Vigil / C. Juan N Cumplido,IN_SERVICE,20.68981,-103.3582,19
165,(GDL-098) Calz. Federalismo / Av. Maestros,IN_SERVICE,20.693072,-103.354209,19
166,(GDL-099) C. Eulogio Parra /C.González Ortega,IN_SERVICE,20.687196,-103.350525,11
167,(GDL-100) C. Ayuntamiento/C. A. R. Plasencia,IN_SERVICE,20.69269,-103.37082,15
168,(GDL-101) C. Amado Nervo /C. José María Vigil,IN_SERVICE,20.68969,-103.37486,15
169,(GDL-102) C. María Vigil/C. Manuel M. Dieguez,IN_SERVICE,20.68985,-103.37071,11
170,(GDL-103) J. Clemente Orozco /C. Jesús García,IN_SERVICE,20.68861,-103.365814,15
171,(GDL-104) C. Pedro Loza / Av. Manuel Acuña,IN_SERVICE,20.68348,-103.34853,19
172,(GDL-105) C. Pino Suárez / C. Joaquin Angulo,IN_SERVICE,20.6822,-103.34601,11
173,(GDL-106) C. Juan Álvarez / C. Belén,IN_SERVICE,20.68465,-103.34526,19
174,(GDL-107) Calz. Federalismo/C. J. María Vigil,IN_SERVICE,20.68981,-103.353973,15
175,(GDL-108) C. Hospital / C. Alameda,IN_SERVICE,20.68586,-103.33964,11
176,(GDL-109) C. Eulogio Parra / Av. Américas,IN_SERVICE,20.68725,-103.37363,19
177,(GDL-110) C. Manuel Diéguez/Av. Eulogio Parra,IN_SERVICE,20.68723,-103.37084,11
178,(GDL-111) C. José Palomar / C. Hospital,IN_SERVICE,20.686228,-103.336305,15
179,(GDL-112) C. C. Orozco/C. Gral. Eulogio Parra,IN_SERVICE,20.687,-103.36582,11
180,(GDL-113) C. Ghilardi / C. Arista,IN_SERVICE,20.68765483,-103.3627938,15
181,(GDL-114) C. Monte Cáucaso / C. Alameda,IN_SERVICE,20.68925,-103.3361,15
